id,created_at,screen_name,mention
582964816802930688,Tue Mar 31 17:56:57 +0000 2015,celestialmeme,botanicaI
582964815393628160,Tue Mar 31 17:56:57 +0000 2015,misguided_rain,aurosan
582964811174162432,Tue Mar 31 17:56:56 +0000 2015,yungboikafka,grimalkinrn
582964809160884225,Tue Mar 31 17:56:56 +0000 2015,grosshoney,graygublr
582964808116527104,Tue Mar 31 17:56:55 +0000 2015,GamestheBest,dkcel
582964808045199360,Tue Mar 31 17:56:55 +0000 2015,thatfaeriebitch,theOFFICIALmilf
582964807927775232,Tue Mar 31 17:56:55 +0000 2015,TophatSuRge,shoe0nhead
582964807554478080,Tue Mar 31 17:56:55 +0000 2015,tkxbs,housepIant
582964805578985474,Tue Mar 31 17:56:55 +0000 2015,series011,dkcel
582964803431448576,Tue Mar 31 17:56:54 +0000 2015,gamesthebest01,dkcel
582964801468526592,Tue Mar 31 17:56:54 +0000 2015,cheeahs,aurosan
582964800067649536,Tue Mar 31 17:56:53 +0000 2015,gameseries02,dkcel
582964793084084224,Tue Mar 31 17:56:52 +0000 2015,ofl0ra,bdunkelman
582964792333361154,Tue Mar 31 17:56:52 +0000 2015,solak,Whalewatchmeplz
582964789237968896,Tue Mar 31 17:56:51 +0000 2015,mcgmoney,feministculture
582964787082108928,Tue Mar 31 17:56:50 +0000 2015,Jenununu,botanicaI
582964786394169344,Tue Mar 31 17:56:50 +0000 2015,ratedksy,botanicaI
582964783550431232,Tue Mar 31 17:56:50 +0000 2015,silvrIining,undeadera
582964783550431232,Tue Mar 31 17:56:50 +0000 2015,silvrIining,STRAlGHTPERSON
582964783340761089,Tue Mar 31 17:56:49 +0000 2015,maxiswonderful,tyleroakley
