id,text,created_at,retweeted,in_reply_to_screen_name,in_reply_to_status_id,retweeted_screen_name,quoted_status_screen_name,source,retweet_count,screen_name,followers_count,friends_count
582965448360218624,RT @alphahalsey: “@STRAlGHTPERSON: happy #transdayofvisibility ! trans ppl quote this w a selfie so we can all cry over ur beauty !!!” http…,Tue Mar 31 17:59:28 +0000 2015,False,,,franknfvrter,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",0,STRAlGHTPERSON,12966,127
582965445248024576,"RT @bridgetstfu: I hope all trans people have an amazing day today, you are all important, you are all loved, you all matter #transdayofvis…",Tue Mar 31 17:59:27 +0000 2015,False,,,bridgetstfu,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,LyneaDeNay,385,311
582965443150921728,"Try it, you'll never regret!
https://t.co/5MRoFRPI02

#россияказахстан #5sosalbum2 #transdayofvisibility + http://t.co/1ibXrnRvEW",Tue Mar 31 17:59:27 +0000 2015,False,,,,,"<a href=""https://twitter.com/series011"" rel=""nofollow"">gseries011</a>",0,series011,59,119
582965437140459520,RT @mitchgrassi: happy #transdayofvisibility! 💕☁️,Tue Mar 31 17:59:25 +0000 2015,False,,,mitchgrassi,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,marnofosho,321,336
582965436393877505,Thought I'd share this for #transdayofvisibility. Here's a rare photo of me a few years pre transition. http://t.co/6Fc32CEI34,Tue Mar 31 17:59:25 +0000 2015,False,,,,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",7,LaurakBuzz,43996,1599
582965432749019136,RT @tayhatmaker: YES @autostraddle: .@lunchinthepark made you a #TransDayofVisibility playlist! http://t.co/NTcwrSpenZ http://t.co/vEybcjnc…,Tue Mar 31 17:59:24 +0000 2015,False,,,tayhatmaker,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",0,heymermaid,2156,473
582965430677053441,"Today is #transdayofvisibility. Remember those who can’t be visible.
Remember those who have been visible, and paid the price",Tue Mar 31 17:59:24 +0000 2015,False,,,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1,_____sadia,151,145
582965430110838785,RT @leoncoolwata: Happy #transdayofvisibility  ! Pronouns are he/him. Today also marks 4 1/2 months on testosterone. #TDOV #TDoV2015 http:/…,Tue Mar 31 17:59:24 +0000 2015,False,,,manjoumetxt,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",0,soulshipping,126,119
582965429536194560,"Try it, you'll never regret!
https://t.co/5MRoFRPI02

#россияказахстан #5sosalbum2 #transdayofvisibility ^ http://t.co/K6Scq7OxOS",Tue Mar 31 17:59:24 +0000 2015,False,,,,,"<a href=""https://twitter.com/series011"" rel=""nofollow"">gseries011</a>",0,series011,59,119
582965428802228224,RT @graxtaire: #transdayofvisibility  your genderfluid queer boy is here✨ 🌿 http://t.co/WdbqSXwF2l,Tue Mar 31 17:59:23 +0000 2015,False,,,prouvxire,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",0,wiII_ebooks,304,242
582965425761292290,Do remember that #transdayofvisibility is not about placing the onus on trans people to out themselves for awareness' sake,Tue Mar 31 17:59:23 +0000 2015,False,,,,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",0,RainbowTeaching,711,621
582965415376191490,"Try it, you'll never regret!
https://t.co/5MRoFRPI02

#россияказахстан #5sosalbum2 #transdayofvisibility ' http://t.co/4lDkCVdrQn",Tue Mar 31 17:59:20 +0000 2015,False,,,,,"<a href=""https://twitter.com/series011"" rel=""nofollow"">gseries011</a>",0,series011,59,119
